0 	0.0010129317187351 	0 	0.0010129317187351 	
0.0002 	0.313761793003913 	100 	0.313761793003913 	
0.0004 	4.81159367971506E-07 	200 	4.81159367971506E-07 	
0.0006 	6.59902223217888E-06 	300 	6.59902223217888E-06 	
0.0008 	5.02808560018133E-07 	400 	5.02808560018133E-07 	
0.001 	2.16640023303928E-06 	500 	2.16640023303928E-06 	
0.0012 	3.88909546247096E-07 	600 	3.88909546247096E-07 	
0.0014 	3.27681078173771E-07 	700 	3.27681078173771E-07 	
0.0016 	3.19564289003902E-07 	800 	3.19564289003902E-07 	
0.0018 	1.60835137450896E-07 	900 	1.60835137450896E-07 	
0.002 	1.12876926469989E-07 	1000 	1.12876926469989E-07 	
0.0022 	1.5523950425201E-07 	1100 	1.5523950425201E-07 	
0.0024 	9.92578217088921E-08 	1200 	9.92578217088921E-08 	
0.0026 	3.61668178054041E-07 	1300 	3.61668178054041E-07 	
0.0028 	1.27268488677186E-07 	1400 	1.27268488677186E-07 	
0.003 	7.88804403660238E-08 	1500 	7.88804403660238E-08 	
0.0032 	8.50256431688397E-08 	1600 	8.50256431688397E-08 	
0.0034 	3.45294268571582E-08 	1700 	3.45294268571582E-08 	
0.0036 	5.6116825937267E-08 	1800 	5.6116825937267E-08 	
0.0038 	8.93594757407233E-08 	1900 	8.93594757407233E-08 	
0.004 	6.3790472748275E-08 	2000 	6.3790472748275E-08 	
0.0042 	3.68821019882269E-08 	2100 	3.68821019882269E-08 	
0.0044 	9.38407648967149E-08 	2200 	9.38407648967149E-08 	
0.0046 	5.69091833448961E-09 	2300 	5.69091833448961E-09 	
0.0048 	3.27161611097792E-08 	2400 	3.27161611097792E-08 	
0.005 	8.19711593548571E-08 	2500 	8.19711593548571E-08 	
0.0052 	3.27161611097792E-08 	2600 	3.27161611097792E-08 	
0.0054 	5.69091833448961E-09 	2700 	5.69091833448961E-09 	
0.0056 	9.38407648967149E-08 	2800 	9.38407648967149E-08 	
0.0058 	3.68821019882269E-08 	2900 	3.68821019882269E-08 	
0.006 	6.3790472748275E-08 	3000 	6.3790472748275E-08 	
0.0062 	8.93594757407233E-08 	3100 	8.93594757407233E-08 	
0.0064 	5.6116825937267E-08 	3200 	5.6116825937267E-08 	
0.0066 	3.45294268571582E-08 	3300 	3.45294268571582E-08 	
0.0068 	8.50256431688397E-08 	3400 	8.50256431688397E-08 	
0.007 	7.88804403660238E-08 	3500 	7.88804403660238E-08 	
0.0072 	1.27268488677186E-07 	3600 	1.27268488677186E-07 	
0.0074 	3.61668178054041E-07 	3700 	3.61668178054041E-07 	
0.0076 	9.92578217088921E-08 	3800 	9.92578217088921E-08 	
0.0078 	1.5523950425201E-07 	3900 	1.5523950425201E-07 	
0.008 	1.12876926469989E-07 	4000 	1.12876926469989E-07 	
0.0082 	1.60835137450896E-07 	4100 	1.60835137450896E-07 	
0.0084 	3.19564289003902E-07 	4200 	3.19564289003902E-07 	
0.0086 	3.27681078173771E-07 	4300 	3.27681078173771E-07 	
0.0088 	3.88909546247096E-07 	4400 	3.88909546247096E-07 	
0.009 	2.16640023303928E-06 	4500 	2.16640023303928E-06 	
0.0092 	5.02808560018133E-07 	4600 	5.02808560018133E-07 	
0.0094 	6.59902223217888E-06 	4700 	6.59902223217888E-06 	
0.0096 	4.81159367971506E-07 	4800 	4.81159367971506E-07 	
0.0098 	0.313761793003913 	4900 	0.313761793003913 	
