0 	-0.467548181176444 	0 	0.00135914407044741 	
0.001 	-0.53254300931028 	10 	0.320184180626714 	
0.002 	-0.594246965332508 	20 	8.49605735552601E-06 	
0.003 	-0.653318224189382 	30 	7.9039054339514E-06 	
0.004 	-0.710579504953529 	40 	7.67347739160802E-07 	
0.005 	-0.767511702684411 	50 	4.84456636699816E-07 	
0.006 	-0.819178499086017 	60 	4.66789110143483E-09 	
0.007 	-0.86804805235354 	70 	5.478059875116E-08 	
0.008 	-0.915107625741198 	80 	5.24232406840388E-08 	
0.009 	-0.956572707356292 	90 	8.15428103691485E-07 	
0.01 	-0.995734175924726 	100 	3.66667763392865E-08 	
0.011 	-1.03111113503104 	110 	1.41980626291755E-08 	
0.012 	-1.06286812803924 	120 	8.7639478777022E-09 	
0.013 	-1.09149878643587 	130 	1.11475237903997E-07 	
0.014 	-1.1158513015975 	140 	8.02646344612849E-09 	
0.015 	-1.13576112895698 	150 	4.02691487185755E-09 	
0.016 	-1.15254462033471 	160 	1.10834894458934E-09 	
0.017 	-1.16389815890456 	170 	4.73238537132579E-08 	
0.018 	-1.17311262516009 	180 	9.88336232376593E-10 	
0.019 	-1.17837803451754 	190 	5.58609806263383E-08 	
0.02 	-1.1694926562558 	200 	1.11334959942685E-09 	
0.021 	-1.15863274968407 	210 	7.28447304732859E-09 	
0.022 	-1.14596285895037 	220 	1.45555547275426E-09 	
0.023 	-1.12704029539929 	230 	3.202431996361E-08 	
0.024 	-1.10499139605931 	240 	5.97228497897774E-09 	
0.025 	-1.07915798522872 	250 	2.80737243075175E-08 	
0.026 	-1.04904643138837 	260 	1.70829396599683E-09 	
0.027 	-1.01613763115154 	270 	7.72353580163069E-09 	
0.028 	-0.978621601110878 	280 	5.13889128583179E-09 	
0.029 	-0.937814693897054 	290 	1.7886698385787E-08 	
0.03 	-0.892894190308721 	300 	1.71678558242396E-09 	
0.031 	-0.845011898831852 	310 	9.08000936778914E-09 	
0.032 	-0.791370573126386 	320 	1.007077284368E-09 	
0.033 	-0.739868322834928 	330 	8.89483374674629E-10 	
0.034 	-0.682936127438182 	340 	1.30970101856267E-08 	
0.035 	-0.624029409990124 	350 	2.58090917034601E-08 	
0.036 	-0.562819083080705 	360 	1.39334705299957E-09 	
0.037 	-0.499140603267057 	370 	3.65124722745036E-09 	
0.038 	-0.434145777982071 	380 	3.89049273830677E-09 	
0.039 	-0.367999151206336 	390 	1.98498903625882E-09 	
0.04 	-0.302017073643384 	400 	1.84590486627493E-09 	
0.041 	-0.234718650715054 	410 	2.80045318378338E-09 	
0.042 	-0.166103882514267 	420 	2.41033783251393E-09 	
0.043 	-0.0945273312138369 	430 	6.2648896228459E-09 	
0.044 	-0.0227862414510117 	440 	3.68487944367102E-09 	
0.045 	0.0481321243994126 	450 	9.015068201123E-10 	
0.046 	0.119708660562593 	460 	3.54296991030447E-09 	
0.047 	0.19079156094803 	470 	3.75385881940617E-09 	
0.048 	0.259077213587251 	480 	1.80868462141364E-10 	
0.049 	0.326211056455437 	490 	5.38296832526706E-09 	
0.05 	0.391205827619981 	500 	2.70719420270234E-12 	
0.051 	0.455706964710685 	510 	5.38296832526706E-09 	
0.052 	0.520701730222707 	520 	1.80868462141364E-10 	
0.053 	0.581418356965929 	530 	3.75385881940617E-09 	
0.054 	0.639502282512332 	540 	3.54296991030447E-09 	
0.055 	0.697421662616763 	550 	9.015068201123E-10 	
0.056 	0.751062905257377 	560 	3.68487944367102E-09 	
0.057 	0.802729622430351 	570 	6.2648896228459E-09 	
0.058 	0.849789115475742 	580 	2.41033783251393E-09 	
0.059 	0.893722277821755 	590 	2.80045318378338E-09 	
0.06 	0.932883672917029 	600 	1.84590486627493E-09 	
0.061 	0.96858965038032 	610 	1.98498903625882E-09 	
0.062 	0.999688404646424 	620 	3.89049273830677E-09 	
0.063 	1.02798991624244 	630 	3.65124722745036E-09 	
0.064 	1.05201329221033 	640 	1.39334705299957E-09 	
0.065 	1.07159398896329 	650 	2.58090917034601E-08 	
0.066 	1.08706109390325 	660 	1.30970101856267E-08 	
0.067 	1.09841460707284 	670 	8.89483374674629E-10 	
0.068 	1.1079581398626 	680 	1.007077284368E-09 	
0.069 	1.11091992589729 	690 	9.08000936778914E-09 	
0.07 	1.10269274246351 	700 	1.71678558242396E-09 	
0.071 	1.09183286031099 	710 	1.7886698385787E-08 	
0.072 	1.07768210474349 	720 	5.13889128583179E-09 	
0.073 	1.06040501940054 	730 	7.72353580163069E-09 	
0.074 	1.03786253651974 	740 	1.70829396599683E-09 	
0.075 	1.01054828702721 	750 	2.80737243075175E-08 	
0.076 	0.980765882241204 	760 	5.97228497897774E-09 	
0.077 	0.946376254307578 	770 	3.202431996361E-08 	
0.078 	0.908202121444777 	780 	1.45555547275426E-09 	
0.079 	0.866078939796601 	790 	7.28447304732859E-09 	
0.08 	0.820335796502587 	800 	1.11334959942685E-09 	
0.081 	0.771301778679475 	810 	5.58609806263383E-08 	
0.082 	0.717495992839934 	820 	9.88336232376593E-10 	
0.083 	0.661386593942189 	830 	4.73238537132579E-08 	
0.084 	0.602644494275374 	840 	1.10834894458934E-09 	
0.085 	0.543902392727959 	850 	4.02691487185755E-09 	
0.086 	0.480553065257449 	860 	8.02646344612849E-09 	
0.087 	0.416874647818097 	870 	1.11475237903997E-07 	
0.088 	0.350892615483307 	880 	8.7639478777022E-09 	
0.089 	0.284910580001447 	890 	1.41980626291755E-08 	
0.09 	0.216295841293443 	900 	3.66667763392865E-08 	
0.091 	0.146693836222451 	910 	8.15428103691485E-07 	
