0 	0.0010547895804751 	0 	0.0010547895804751 	
0.001 	5.82436679321554E-06 	1 	5.82436679321554E-06 	
0.002 	5.88995877469452E-06 	2 	5.88995877469452E-06 	
0.003 	6.02433490122759E-06 	3 	6.02433490122759E-06 	
0.004 	5.58560653680708E-06 	4 	5.58560653680708E-06 	
0.005 	5.61275029955982E-06 	5 	5.61275029955982E-06 	
0.006 	5.72333554823979E-06 	6 	5.72333554823979E-06 	
0.007 	5.89687248491197E-06 	7 	5.89687248491197E-06 	
0.008 	5.85163476670909E-06 	8 	5.85163476670909E-06 	
0.009 	5.81625582204277E-06 	9 	5.81625582204277E-06 	
0.01 	5.80719477323899E-06 	10 	5.80719477323899E-06 	
0.011 	5.96931001372762E-06 	11 	5.96931001372762E-06 	
0.012 	6.04066934830015E-06 	12 	6.04066934830015E-06 	
0.013 	6.0624922227088E-06 	13 	6.0624922227088E-06 	
0.014 	5.99181114760544E-06 	14 	5.99181114760544E-06 	
0.015 	6.04804667484311E-06 	15 	6.04804667484311E-06 	
0.016 	6.1724860234182E-06 	16 	6.1724860234182E-06 	
0.017 	6.29091604434093E-06 	17 	6.29091604434093E-06 	
0.018 	6.33471540914988E-06 	18 	6.33471540914988E-06 	
0.019 	6.34606417510286E-06 	19 	6.34606417510286E-06 	
0.02 	6.5844132773032E-06 	20 	6.5844132773032E-06 	
0.021 	6.3069051722722E-06 	21 	6.3069051722722E-06 	
0.022 	6.55188860385313E-06 	22 	6.55188860385313E-06 	
0.023 	6.62618567658564E-06 	23 	6.62618567658564E-06 	
0.024 	6.72250396157604E-06 	24 	6.72250396157604E-06 	
0.025 	6.82561087321572E-06 	25 	6.82561087321572E-06 	
0.026 	6.9323244747683E-06 	26 	6.9323244747683E-06 	
0.027 	7.04894252513442E-06 	27 	7.04894252513442E-06 	
0.028 	7.12845674496134E-06 	28 	7.12845674496134E-06 	
0.029 	7.19590896893573E-06 	29 	7.19590896893573E-06 	
0.03 	7.28223169995775E-06 	30 	7.28223169995775E-06 	
0.031 	7.47877297003006E-06 	31 	7.47877297003006E-06 	
0.032 	7.59646352920116E-06 	32 	7.59646352920116E-06 	
0.033 	7.75899040611012E-06 	33 	7.75899040611012E-06 	
0.034 	8.02354202567006E-06 	34 	8.02354202567006E-06 	
0.035 	8.05745645545631E-06 	35 	8.05745645545631E-06 	
0.036 	8.2399167633346E-06 	36 	8.2399167633346E-06 	
0.037 	8.47240098877457E-06 	37 	8.47240098877457E-06 	
0.038 	8.7762983231847E-06 	38 	8.7762983231847E-06 	
0.039 	8.71593139663402E-06 	39 	8.71593139663402E-06 	
0.04 	9.13472101790192E-06 	40 	9.13472101790192E-06 	
0.041 	9.36149572953574E-06 	41 	9.36149572953574E-06 	
0.042 	9.38779885665604E-06 	42 	9.38779885665604E-06 	
0.043 	9.79852144844211E-06 	43 	9.79852144844211E-06 	
0.044 	1.00645483747286E-05 	44 	1.00645483747286E-05 	
0.045 	1.03594900544494E-05 	45 	1.03594900544494E-05 	
0.046 	1.06736956151359E-05 	46 	1.06736956151359E-05 	
0.047 	1.0917540088052E-05 	47 	1.0917540088052E-05 	
0.048 	1.12258669486239E-05 	48 	1.12258669486239E-05 	
0.049 	1.16934189824059E-05 	49 	1.16934189824059E-05 	
0.05 	1.2149092679414E-05 	50 	1.2149092679414E-05 	
0.051 	1.25511687888893E-05 	51 	1.25511687888893E-05 	
0.052 	1.2862589737588E-05 	52 	1.2862589737588E-05 	
0.053 	1.32306157046221E-05 	53 	1.32306157046221E-05 	
0.054 	1.38848791122294E-05 	54 	1.38848791122294E-05 	
0.055 	1.43439246722693E-05 	55 	1.43439246722693E-05 	
0.056 	1.47848461995531E-05 	56 	1.47848461995531E-05 	
0.057 	1.56644708895349E-05 	57 	1.56644708895349E-05 	
0.058 	1.63345855207447E-05 	58 	1.63345855207447E-05 	
0.059 	1.69029073095215E-05 	59 	1.69029073095215E-05 	
0.06 	1.78381916738407E-05 	60 	1.78381916738407E-05 	
0.061 	1.85286391096293E-05 	61 	1.85286391096293E-05 	
0.062 	1.93729343506082E-05 	62 	1.93729343506082E-05 	
0.063 	2.04218988382696E-05 	63 	2.04218988382696E-05 	
0.064 	2.1251502686528E-05 	64 	2.1251502686528E-05 	
0.065 	2.24277830021446E-05 	65 	2.24277830021446E-05 	
0.066 	2.35555006901331E-05 	66 	2.35555006901331E-05 	
0.067 	2.50401475266826E-05 	67 	2.50401475266826E-05 	
0.068 	2.65608089236299E-05 	68 	2.65608089236299E-05 	
0.069 	2.8075811274624E-05 	69 	2.8075811274624E-05 	
0.07 	2.96691427322382E-05 	70 	2.96691427322382E-05 	
0.071 	3.17585228764634E-05 	71 	3.17585228764634E-05 	
0.072 	3.39798333745638E-05 	72 	3.39798333745638E-05 	
0.073 	3.62642446311674E-05 	73 	3.62642446311674E-05 	
0.074 	3.90105761140669E-05 	74 	3.90105761140669E-05 	
0.075 	4.20538351576152E-05 	75 	4.20538351576152E-05 	
0.076 	4.52238356044802E-05 	76 	4.52238356044802E-05 	
0.077 	4.9249130796572E-05 	77 	4.9249130796572E-05 	
0.078 	5.34672565494784E-05 	78 	5.34672565494784E-05 	
0.079 	5.83314688348137E-05 	79 	5.83314688348137E-05 	
0.08 	6.4133775783067E-05 	80 	6.4133775783067E-05 	
0.081 	7.06192499641415E-05 	81 	7.06192499641415E-05 	
0.082 	7.82054149282176E-05 	82 	7.82054149282176E-05 	
0.083 	8.79082445756723E-05 	83 	8.79082445756723E-05 	
0.084 	9.82330212096033E-05 	84 	9.82330212096033E-05 	
